lang	qwen3_8b_macro	qwen3_8b_micro	opus_4_6_macro	opus_4_6_micro	gpt52_macro	gpt52_micro	facti_macro	facti_micro	gemini_3_5_macro	gemini_3_5_micro
af	0.4816392777439643	0.5205479452054794	0.769493251846193	0.7876712328767124	0.6996473354231976	0.7123287671232876	0.8141074611662846	0.8287671232876712	0.8163326503073617	0.8299319727891157
ak	0.49243209620568107	0.5277777777777778	0.6729211929685956	0.6805555555555556	0.6310726543239715	0.6319444444444444	0.5624789004099349	0.5625	0.7564327485380117	0.7687074829931972
am	0.5037797746398517	0.5170068027210885	0.782114624505929	0.7959183673469388	0.751194743130227	0.7687074829931972	0.7403532608695652	0.8231292517006803	0.8214574898785425	0.8367346938775511
ar	0.5222466422466422	0.541095890410959	0.7730987115857022	0.7876712328767124	0.6276213867372	0.6301369863013698	0.7992360580595874	0.815068493150685	0.7980769230769231	0.8095238095238095
as	0.3639994294679789	0.38095238095238093	0.6902298850574713	0.7006802721088435	0.7322404371584699	0.7482993197278912	0.5020325203252033	0.7278911564625851	0.846938775510204	0.8639455782312925
ay	0.4692005242463958	0.4888888888888889	0.6845974129580032	0.6962962962962963	0.6122403888643394	0.6148148148148148	0.5919167039856694	0.6	0.7500607238280301	0.7619047619047619
az	0.507985347985348	0.5273972602739726	0.7877375043866246	0.8013698630136986	0.7346106607713092	0.7465753424657534	0.7455081791364977	0.821917808219178	0.7692307692307692	0.782312925170068
be	0.5532131927915676	0.5684931506849316	0.7392857142857143	0.7534246575342466	0.6712814371257485	0.678082191780822	0.6928471248246844	0.7945205479452054	0.7951015531660692	0.8095238095238095
bg	0.5472057888818267	0.5714285714285714	0.7787033319951826	0.7959183673469388	0.6805555555555556	0.6870748299319728	0.8146889558783228	0.8435374149659864	0.8111660079051384	0.8231292517006803
bm	0.4072868593636143	0.43537414965986393	0.6947703896856439	0.7074829931972789	0.6489017936589707	0.6530612244897959	0.6562850729517395	0.6598639455782312	0.8214574898785425	0.8367346938775511
bn	0.4733196388477524	0.4897959183673469	0.7628220798904806	0.7755102040816326	0.7294653235180163	0.7414965986394558	0.6143518518518518	0.7687074829931972	0.8131957505210187	0.8299319727891157
br	0.49699975204562363	0.5306122448979592	0.7484476604899037	0.7619047619047619	0.7057758292032024	0.7142857142857143	0.8553224553224553	0.8707482993197279	0.8031738160178528	0.8163265306122449
bs	0.5129253687746458	0.5241379310344828	0.7217171717171718	0.7379310344827587	0.6523782125047948	0.6551724137931034	0.7966587403207122	0.8413793103448276	0.782114624505929	0.7959183673469388
