lang	qwen3_8b	opus_4_6	gpt52	facti	gemini_3_5
af	0.4816392777439643	0.769493251846193	0.6996473354231976	0.8141074611662846	0.8163326503073617
ak	0.492432096205681	0.6729211929685956	0.6310726543239715	0.5624789004099349	0.7564327485380117
am	0.5037797746398517	0.782114624505929	0.751194743130227	0.7403532608695652	0.8214574898785425
ar	0.5222466422466422	0.7730987115857022	0.6276213867372	0.7992360580595874	0.7980769230769231
as	0.3639994294679789	0.6902298850574713	0.7322404371584699	0.5020325203252033	0.846938775510204
ay	0.4692005242463958	0.6845974129580032	0.6122403888643394	0.5919167039856694	0.7500607238280301
az	0.507985347985348	0.7877375043866246	0.7346106607713092	0.7455081791364977	0.7692307692307692
be	0.5532131927915676	0.7392857142857143	0.6712814371257485	0.6928471248246844	0.7951015531660692
bg	0.5472057888818267	0.7787033319951826	0.6805555555555556	0.8146889558783228	0.8111660079051384
bm	0.4072868593636143	0.6947703896856439	0.6489017936589707	0.6562850729517395	0.8214574898785425
bn	0.4733196388477524	0.7628220798904806	0.7294653235180163	0.6143518518518518	0.8131957505210187
br	0.4969997520456236	0.7484476604899037	0.7057758292032024	0.8553224553224553	0.8031738160178528
bs	0.5129253687746458	0.7217171717171718	0.6523782125047948	0.7966587403207122	0.782114624505929
ca	0.4162146454862456	0.7277777777777777	0.6839917833086514	0.8006586594343277	0.8229626655961462
co	0.4224175824175824	0.7827380952380952	0.6979843171212777	0.8431119707715453	0.8310260382827728
cs	0.4849420849420849	0.7381621187800963	0.6180738470379771	0.7890111169314942	0.8229626655961462
cy	0.4822946519648322	0.7473673802343402	0.7184185149469624	0.8091503267973856	0.7901343966917738
da	0.4781793299204217	0.7721628060215926	0.6759619121647882	0.8622058248085416	0.7966403162055335
de	0.4997750112494376	0.7704407333639753	0.6604215456674474	0.7963483146067416	0.8296296296296296
dv	0.4508620689655172	0.7057758292032024	0.5916666666666667	0.8137426900584794	0.7901343966917738
ee	0.4537619380386676	0.6898148148148149	0.6572890025575449	0.5734628916066342	0.7934564431955038
el	0.4969997520456236	0.7804659498207885	0.6552532833020638	0.8279787234042553	0.8243727598566308
en	0.3671202046553782	0.6976770710565334	0.6236024727121259	0.930902460283085	0.7796496816517768
eo	0.4814814814814815	0.7581310123683005	0.7192982456140351	0.8545454545454545	0.7451848998459167
es	0.5271929824561403	0.8016392623319506	0.6679216867469879	0.7747126436781608	0.7901343966917738
et	0.4688644688644688	0.733416149068323	0.6618732996502137	0.8337155963302753	0.8163326503073617
eu	0.5215448141850862	0.7310285053929122	0.7579426578845408	0.8430844304376557	0.7982514105627001
fa	0.5624375624375624	0.7926557110975857	0.6902603664416587	0.8425593098490295	0.8377157767964674
fi	0.472787702534275	0.7168076109936575	0.6611443472925296	0.8452439024390244	0.7707602339181286
fr	0.4874079814025571	0.7740143813538309	0.6817582831325302	0.8553224553224553	0.7593412942989214
