lang	qwen3_8b	opus_4_6	gpt52	facti	gemini_3_5
af	0.5205479452054794	0.7876712328767124	0.7123287671232876	0.8287671232876712	0.8299319727891157
ak	0.5277777777777778	0.6805555555555556	0.6319444444444444	0.5625	0.7687074829931972
am	0.5170068027210885	0.7959183673469388	0.7687074829931972	0.8231292517006803	0.8367346938775511
ar	0.541095890410959	0.7876712328767124	0.6301369863013698	0.815068493150685	0.8095238095238095
as	0.3809523809523809	0.7006802721088435	0.7482993197278912	0.7278911564625851	0.8639455782312925
ay	0.4888888888888889	0.6962962962962963	0.6148148148148148	0.6	0.7619047619047619
az	0.5273972602739726	0.8013698630136986	0.7465753424657534	0.821917808219178	0.782312925170068
be	0.5684931506849316	0.7534246575342466	0.678082191780822	0.7945205479452054	0.8095238095238095
bg	0.5714285714285714	0.7959183673469388	0.6870748299319728	0.8435374149659864	0.8231292517006803
bm	0.4353741496598639	0.7074829931972789	0.6530612244897959	0.6598639455782312	0.8367346938775511
bn	0.4897959183673469	0.7755102040816326	0.7414965986394558	0.7687074829931972	0.8299319727891157
br	0.5306122448979592	0.7619047619047619	0.7142857142857143	0.8707482993197279	0.8163265306122449
bs	0.5241379310344828	0.7379310344827587	0.6551724137931034	0.8413793103448276	0.7959183673469388
ca	0.4421768707482993	0.7414965986394558	0.6938775510204082	0.8095238095238095	0.8367346938775511
co	0.4452054794520548	0.7945205479452054	0.7054794520547946	0.863013698630137	0.8435374149659864
cs	0.5241379310344828	0.7517241379310344	0.6206896551724138	0.8275862068965517	0.8367346938775511
cy	0.5	0.7602739726027398	0.726027397260274	0.8424657534246576	0.8027210884353742
da	0.5103448275862069	0.7862068965517242	0.6827586206896552	0.8827586206896552	0.8095238095238095
de	0.5241379310344828	0.7862068965517242	0.6689655172413793	0.8068965517241379	0.8435374149659864
dv	0.4693877551020408	0.7142857142857143	0.5918367346938775	0.8231292517006803	0.8027210884353742
ee	0.4776119402985074	0.7014925373134329	0.664179104477612	0.5746268656716418	0.8095238095238095
el	0.5306122448979592	0.7959183673469388	0.6598639455782312	0.8503401360544217	0.8367346938775511
en	0.4939637826961771	0.903420523138833	0.8390342052313883	0.9869215291750504	0.943
eo	0.5138888888888888	0.7708333333333334	0.7291666666666666	0.875	0.7551020408163265
es	0.5510204081632653	0.8163265306122449	0.673469387755102	0.782312925170068	0.8027210884353742
et	0.503448275862069	0.7448275862068966	0.6689655172413793	0.8758620689655172	0.8299319727891157
eu	0.54421768707483	0.7414965986394558	0.7687074829931972	0.8571428571428571	0.8163265306122449
fa	0.589041095890411	0.8082191780821918	0.6986301369863014	0.8767123287671232	0.8503401360544217
fi	0.4893617021276595	0.7304964539007093	0.6666666666666666	0.8723404255319149	0.782312925170068
fr	0.5102040816326531	0.7891156462585034	0.6870748299319728	0.8707482993197279	0.7687074829931972
fy	0.4557823129251701	0.782312925170068	0.7414965986394558	0.782312925170068	0.8503401360544217
ga	0.4726027397260274	0.7465753424657534	0.6917808219178082	0.8698630136986302	0.8095238095238095
gd	0.4557823129251701	0.7210884353741497	0.6802721088435374	0.7755102040816326	0.8299319727891157
gl	0.5034013605442177	0.7551020408163265	0.6666666666666666	0.8639455782312925	0.8163265306122449
gn	0.4685314685314685	0.7482517482517482	0.7132867132867133	0.6083916083916084	0.8367346938775511
gu	0.4315068493150685	0.821917808219178	0.7534246575342466	0.7397260273972602	0.8367346938775511
ha	0.5448275862068965	0.7862068965517242	0.6482758620689655	0.8344827586206897	0.8503401360544217
he	0.5277777777777778	0.6944444444444444	0.6041666666666666	0.8680555555555556	0.8571428571428571
iw	0.5486111111111112	0.7083333333333334	0.6319444444444444	0.8680555555555556	0.8503401360544217
hi	0.547945205479452	0.7808219178082192	0.7465753424657534	0.7671232876712328	0.8027210884353742
hr	0.5753424657534246	0.7328767123287672	0.6575342465753424	0.8561643835616438	0.7755102040816326
ht	0.4657534246575342	0.7534246575342466	0.6438356164383562	0.6986301369863014	0.8095238095238095
hu	0.4452054794520548	0.7465753424657534	0.678082191780822	0.863013698630137	0.8095238095238095
hy	0.4761904761904761	0.7619047619047619	0.6598639455782312	0.8163265306122449	0.8299319727891157
id	0.4827586206896552	0.7862068965517242	0.6758620689655173	0.8482758620689655	0.8231292517006803
ig	0.4965986394557823	0.7346938775510204	0.673469387755102	0.6326530612244898	0.8435374149659864
is	0.5374149659863946	0.673469387755102	0.6190476190476191	0.8367346938775511	0.8231292517006803
it	0.4863013698630137	0.815068493150685	0.7123287671232876	0.863013698630137	0.8503401360544217
ja	0.4693877551020408	0.782312925170068	0.6802721088435374	0.91156462585034	0.8027210884353742
jv	0.5034013605442177	0.7619047619047619	0.6870748299319728	0.8503401360544217	0.8367346938775511
ka	0.4557823129251701	0.7959183673469388	0.6870748299319728	0.7959183673469388	0.8571428571428571
kk	0.5102040816326531	0.7346938775510204	0.7278911564625851	0.7891156462585034	0.7551020408163265
